unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
231,1990,1990,Y,15-49,National survey,MW,0.029,0.019,0.048,,,N,,Y,"Excluding Eritrea, Tigray, Asseb, Ogaden, parts of Gondar and Wello and nomadic populations.",Y,,None,None,Y,Traditional methods include folk methods.,N,,,,,,,"184","Y_347",
231,1997,1997,Y,15-49,National survey,MW,0.028,0.005,0.033,,,N,,Y,"Data pertain to urban areas and rural areas of Guraghe, Hadiya, North Omo, Timbaro (K.A.T.) and Sidamo.",Y,,None,None,N,,N,,,,,,,"3082","Y_348",
231,2000.084699,2000.412568,Y,15-49,DHS,MW,0.0632865881,0.0174942965,0.0807808846,,0.3656399438,N,,N,,N,,None,None,N,,N,0.004439076,0.002045204,0.008606469,0.074870556,0.118938696,0.039528586,"1694","Y_349",
231,2005.246575,2005.663014,Y,15-49,DHS,MW,0.1390384609,0.0081370624,0.1471755233,,0.3609351337,N,,N,,N,,None,None,N,,N,0.007250919,0.001086172,0.00805805,0.06073471,0.135482981,0.035404125,"1858","Y_350",
231,2010.915068,2011.410959,Y,15-49,DHS,MW,0.273369627,0.0127709402,0.2861405672,,0.2629299792,N,,N,,N,,None,None,N,,N,0.011218496,0.00213462,0.008205342,0.056990263,0.171690655,0.040876514,"5053","Y_351",
231,2014.747945,2014.99726,Y,15-49,PMA,MW,0.342,0.0083,0.3503,,0.2412,N,,N,,N,,None,None,N,,N,0.021510918,0.001953354,0.013986365,0.096095799,0.239011361,0.077425428,"5765","Y_353",
231,2016,2016.494536,Y,15-49,DHS,MW,0.3518920342,0.0069511325,0.3588431668,,0.2230363134,N,,N,,N,,None,None,N,,N,0.01259598,0.001069288,0.008574054,0.055508676,0.157233885,0.045988104,"5808","Y_356",
231,2017.246575,2017.408219,Y,15-49,PMA,MW,0.352,0.013,0.365,,0.2283,N,,N,,N,,None,None,N,,N,0.020008639,0.001989672,0.012719264,0.088008713,0.186009957,0.064501443,"7480","Y_358",
231,2018.413699,2018.578082,Y,15-49,PMA,MW,0.3784,0.0224,0.4008,,0.2064,N,,N,,N,,None,None,N,,N,0.019372467,0.003259386,0.012457229,0.082137099,0.190483806,0.072535515,"7656","Y_359",
231,2019.161644,2019.493151,Y,15-49,DHS,MW,0.405,0.01,0.414,,,N,,N,,N,,None,None,N,,N,,,,,,,"7685","Y_360",
231,2019.747945,2019.915068,Y,15-49,PMA,MW,0.3576,0.0124,0.37,,0.2009,N,,N,,N,,None,None,N,,N,,,,,,,"9014","Y_361",
231,2000.084699,2000.412568,N,15-49,DHS,UW,0.0180105292,0.0032933617,0.0213038909,,0.0381198943,N,,N,,N,,None,None,N,,N,0.002763003,0.000635,0.003935773,0.156252862,0.193435758,0.107574723,"1694","N_1522",
231,2005.246575,2005.663014,N,15-49,DHS,UW,0.0201407872,0.003713023,0.0238538102,,0.0215226661,N,,N,,N,,None,None,N,,N,0.001986142,0.000548,0.001452896,0.141651964,0.281733108,0.143977697,"1858","N_1523",
231,2010.915068,2011.410959,N,15-49,DHS,UW,0.0442462096,0.0023133688,0.0465595784,,0.022796266,N,,N,,N,,None,None,N,,N,0.002097646,0.000312,0.001184825,0.113549623,0.357236764,0.118679278,"5053","N_1524",
231,2014.747945,2014.99726,N,15-49,PMA,UW,0.0422908459,0.0010146531,0.0457805419,,0.023766961,N,,N,,N,,None,None,N,,N,0.005201212,0.000632,0.003263312,0.128753932,0.623330733,0.243909027,"5765","N_1526",
231,2016,2016.494536,N,15-49,DHS,UW,0.0540867106,0.0018913412,0.0559780518,,0.018569465,N,,N,,N,,None,None,N,,N,0.002968967,0.000195,0.001187842,0.093192295,0.329477178,0.161698801,"5808","N_1529",
231,2017.246575,2017.408219,N,15-49,PMA,UW,0.0643006651,0.0027761959,0.0693828628,,0.0333215207,N,,N,,N,,None,None,N,,N,0.004652979,0.000463,0.003516175,0.135924513,0.356978069,0.208870041,"7480","N_1531",
231,2018.413699,2018.578082,N,15-49,PMA,UW,0.0573561269,0.0025130207,0.0658343935,,0.0226484996,N,,N,,N,,None,None,N,,N,0.006703787,0.000823,0.003699945,0.124158634,0.328538482,0.172835179,"7656","N_1532",
