unit_numeric_code,is_in_union,age_range,mid_year,population_count,region_code
231,N,15-49,1970,1507651,
231,Y,15-49,1970,5049892,
231,N,15-49,1971,1543193,
231,Y,15-49,1971,5174467,
231,N,15-49,1972,1582584,
231,Y,15-49,1972,5308807,
231,N,15-49,1973,1623250,
231,Y,15-49,1973,5443998,
231,N,15-49,1974,1662492,
231,Y,15-49,1974,5570731,
231,N,15-49,1975,1699064,
231,Y,15-49,1975,5684795,
231,N,15-49,1976,1725613,
231,Y,15-49,1976,5772408,
231,N,15-49,1977,1746390,
231,Y,15-49,1977,5845254,
231,N,15-49,1978,1764372,
231,Y,15-49,1978,5916124,
231,N,15-49,1979,1783718,
231,Y,15-49,1979,5999357,
231,N,15-49,1980,1807428,
231,Y,15-49,1980,6102227,
231,N,15-49,1981,1841177,
231,Y,15-49,1981,6203709,
231,N,15-49,1982,1887016,
231,Y,15-49,1982,6341420,
231,N,15-49,1983,1942999,
231,Y,15-49,1983,6508290,
231,N,15-49,1984,2006659,
231,Y,15-49,1984,6695032,
231,N,15-49,1985,2119982,
231,Y,15-49,1985,6851206,
231,N,15-49,1986,2238005,
231,Y,15-49,1986,7005052,
231,N,15-49,1987,2364483,
231,Y,15-49,1987,7171899,
231,N,15-49,1988,2498121,
231,Y,15-49,1988,7351839,
231,N,15-49,1989,2639596,
231,Y,15-49,1989,7547933,
231,N,15-49,1990,2790844,
231,Y,15-49,1990,7762534,
231,N,15-49,1991,2943084,
231,Y,15-49,1991,7967108,
231,N,15-49,1992,3108240,
231,Y,15-49,1992,8192306,
231,N,15-49,1993,3284432,
231,Y,15-49,1993,8430966,
231,N,15-49,1994,3469549,
231,Y,15-49,1994,8673161,
231,N,15-49,1995,3663692,
231,Y,15-49,1995,8912389,
231,N,15-49,1996,3857641,
231,Y,15-49,1996,9099114,
231,N,15-49,1997,4062182,
231,Y,15-49,1997,9283812,
231,N,15-49,1998,4276380,
231,Y,15-49,1998,9471349,
231,N,15-49,1999,4498791,
231,Y,15-49,1999,9671225,
231,N,15-49,2000,4728254,
231,Y,15-49,2000,9889674,
231,N,15-49,2001,4930983,
231,Y,15-49,2001,10092290,
231,N,15-49,2002,5140590,
231,Y,15-49,2002,10315886,
231,N,15-49,2003,5357497,
231,Y,15-49,2003,10551925,
231,N,15-49,2004,5585239,
231,Y,15-49,2004,10790680,
231,N,15-49,2005,5830468,
231,Y,15-49,2005,11029270,
231,N,15-49,2006,6103798,
231,Y,15-49,2006,11286177,
231,N,15-49,2007,6400475,
231,Y,15-49,2007,11547919,
231,N,15-49,2008,6725589,
231,Y,15-49,2008,11819595,
231,N,15-49,2009,7081291,
231,Y,15-49,2009,12108587,
231,N,15-49,2010,7465658,
231,Y,15-49,2010,12418097,
231,N,15-49,2011,7884911,
231,Y,15-49,2011,12774569,
231,N,15-49,2012,8169260,
231,Y,15-49,2012,13306733,
231,N,15-49,2013,8455537,
231,Y,15-49,2013,13870545,
231,N,15-49,2014,8734599,
231,Y,15-49,2014,14464230,
231,N,15-49,2015,8999779,
231,Y,15-49,2015,15084988,
231,N,15-49,2016,9241250,
231,Y,15-49,2016,15707951,
231,N,15-49,2017,9480256,
231,Y,15-49,2017,16351876,
231,N,15-49,2018,9717221,
231,Y,15-49,2018,17008255,
231,N,15-49,2019,9950091,
231,Y,15-49,2019,17670407,
231,N,15-49,2020,10178893,
231,Y,15-49,2020,18334359,
231,N,15-49,2021,10403112,
231,Y,15-49,2021,18990938,
231,N,15-49,2022,10625161,
231,Y,15-49,2022,19647650,
231,N,15-49,2023,10851779,
231,Y,15-49,2023,20300906,
231,N,15-49,2024,11094095,
231,Y,15-49,2024,20947981,
231,N,15-49,2025,11359808,
231,Y,15-49,2025,21586145,
231,N,15-49,2026,11649347,
231,Y,15-49,2026,22209956,
231,N,15-49,2027,11964792,
231,Y,15-49,2027,22822653,
231,N,15-49,2028,12305446,
231,Y,15-49,2028,23420609,
231,N,15-49,2029,12668837,
231,Y,15-49,2029,23999065,
231,N,15-49,2030,13053861,
231,Y,15-49,2030,24554553,
