"Country","mCPR with SC Introduction","mCPR without SC Introduction","DMPA-SC Users","Additional Users","Former IM","Former STM","Reduced Discontinuation","Uptake from Non-Users"
"AddisAdaba",41.5,40.1,56468,25355,0.420690994916616,0.130293208626475,0.0656396494780579,0.383376146978851
"Afar",18.5,17.3,7585,4053,0.450179902630033,0.0155518086197172,0.0476633873429283,0.486604901407321
"Amhara",45.9,44.4,351070,132462,0.600243484797504,0.0224459327043701,0.063863241910834,0.313447340587292
"Benishangul",37,35.8,12950,4933,0.608152198063116,0.0109231252936099,0.0625506446991384,0.318374031944136
"DireDawa",32.5,30.9,7286,4295,0.330316836999967,0.0802102061625952,0.0475120628036513,0.541960894033787
"Gambela",35.3,34.3,5753,1691,0.674953799779427,0.0311415727483361,0.0728877624311471,0.22101686504109
"Harari",31,29.8,2632,1329,0.412842112048889,0.0823738060050041,0.0561242674003005,0.448659814545806
"Oromia",39.4,37.6,544253,249434,0.517948289226253,0.0237463946177557,0.0559053085241825,0.402400007631808
"SNNPR",41.2,39.5,294741,121531,0.567849431669938,0.0198188293783816,0.0601586262481963,0.352173112703484
"Somali",6.3,5.3,20315,17165,0.11967882048583,0.035408974559313,0.0183712566471594,0.826540948307697
"Tigray",40.2,38.6,95457,44095,0.491173348839467,0.0468865330434648,0.057456581589936,0.404483536527132
